拍卖时间,投放数量,最低成交价,平均成交价,投标人数
2006年1月,5000,26900,31220,5907
2006年2月,3800,34200,34887,12367
2006年3月,4500,38500,38932,8904
2006年4月,5000,37500,38326,7888
2006年5月,4500,37700,38139,8301
2006年6月,4500,39500,39752,8478
2006年7月,5500,39600,39966,8966
2006年8月,6200,39900,40459,9190
2006年9月,6500,37000,41601,7064
2006年10月,6500,36300,37899,11237
2006年11月,6000,37800,38460,10234
2006年12月,6500,39800,40518,9477
