拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2020年1月,8612,90500,90557,11:29:57 第1603位,131948
2020年2月,7966,90900,90941,11:29:59 第2369位,130962
2020年3月,11970,90100,90141,11:29:58 第3711位,133903
2020年4月,14410,90400,90494,11:29:58 第514位,144210
2020年5月,17776,89600,89818,11:13:23 第1位,146851
2020年6月,18267,90600,90744,11:29:52 第208位,135370
2020年7月,16862,91000,91075,11:29:58 第2729位,142526
2020年8月,16843,90600,90680,11:29:56 第4649位,137111
2020年9月,16852,90600,90710,11:29:55 第5225位,127604
2020年10月,15435,90600,90726,11:29:56 第1522位,121778
2020年11月,14595,91300,91433,11:29:56 第2249位,186549
2020年12月,14138,91500,91586,11:29:57 第1589位,227212
