拍卖时间,警示价
2016年1月16日,80600
2016年2月20日,80600
2016年3月19日,80600
2016年4月16日,82800
2016年5月21日,82800
2016年6月18日,82800
2016年7月23日,84800
2016年8月27日,84800
2016年9月24日,84800
2016年10月22日,86800
2016年11月19日,86800
2016年12月7日,86800
